1,Michael Phelps,Swimming
2,Natalie Coughlin,Swimming
3,Aleksey Nemov,Gymnastics
4,Alicia Coutts,Swimming
5,Missy Franklin,Swimming
6,Ryan Lochte,Swimming
7,Allison Schmitt,Swimming
8,Ian Thorpe,Swimming
9,Dara Torres,Swimming
10,Cindy Klassen,Speed Skating
11,Nastia Liukin,Gymnastics
12,Marit Bjørgen,Cross Country Skiing
13,Sun Yang,Swimming
14,Kirsty Coventry,Swimming
15,Libby Lenton-Trickett,Swimming
16,Inge de Bruijn,Swimming
17,Petria Thomas,Swimming
18,Gary Hall Jr.,Swimming
19,Michael Klim,Swimming
20,Susie O'Neill,Swimming
21,Jenny Thompson,Swimming
22,Pieter van den Hoogenband,Swimming
23,An Hyeon-Su,Short-Track Speed Skating
24,Aliya Mustafina,Gymnastics
25,Shawn Johnson,Gymnastics
26,Dmitry Sautin,Diving
27,Leontien Zijlaard-van Moorsel,Cycling
28,Petter Northug Jr.,Cross Country Skiing
29,Ole Einar Bjørndalen,Biathlon
30,Janica Kostelic,Alpine Skiing
31,Nathan Adrian,Swimming
32,Yannick Agnel,Swimming
33,Brittany Elmslie,Swimming
34,Matt Grevers,Swimming
35,Ryosuke Irie,Swimming
36,Cullen Jones,Swimming
37,Ranomi Kromowidjojo,Swimming
38,Camille Muffat,Swimming
39,Mel Schlanger,Swimming
40,Emily Seebohm,Swimming
41,Rebecca Soni,Swimming
42,Satomi Suzuki,Swimming
43,Dana Vollmer,Swimming
44,Alain Bernard,Swimming
45,László Cseh Jr.,Swimming
46,Margaret Hoelzer,Swimming
47,Katie Hoff,Swimming
48,Leisel Jones,Swimming
49,Kosuke Kitajima,Swimming
50,Andrew Lauterstein,Swimming
51,Jason Lezak,Swimming
52,Pang Jiaying,Swimming
53,Aaron Peirsol,Swimming
54,Steph Rice,Swimming
55,Jess Schipper,Swimming
56,Eamon Sullivan,Swimming
57,Amanda Beard,Swimming
58,Antje Buschschulte,Swimming
59,Ian Crocker,Swimming
60,Grant Hackett,Swimming
61,Brendan Hansen,Swimming
62,Jodie Henry,Swimming
63,Otylia Jedrzejczak,Swimming
64,Laure Manaudou,Swimming
65,Kaitlin Sandeno,Swimming
66,Roland Schoeman,Swimming
67,Therese Alshammar,Swimming
68,Yana Klochkova,Swimming
69,Lenny Krayzelburg,Swimming
70,Massimiliano Rosolino,Swimming
71,Matt Welsh,Swimming
72,Lee Jeong-Su,Short-Track Speed Skating
